症状,所属证候,证候所有症状
畏寒,肾阳虚畏寒,畏寒肢冷，面色昧白或黧黑，精神蒌靡，腰膝痠冷，小便清长頻数，耳目失聪，.两尺脉沉细弱；男子阳康滑精、早泄；女子白带清稀，或胎动易滑，宫寒不孕等。
寒战,寒邪外束寒战,其临床表现为恶寒战栗，髙热无汗，头身疼痛，舌苔薄白，脉浮紧。
寒战,阳虚寒盛寒战,表现为畏寒战栗，四肢厥冷，得暖则症缓，口淡不渴，尿淸便溏，舌淡，脉沉微。
寒战,战汗寒战,在外感热病过程中，突然恶寒战栗，甚则肢冷脉伏，继之不久，全身即可进出大汗，汗后则肌肤较凉。
寒战,外寒内热寒战,临床主要表现有恶寒战栗，四肢厥冷，头身疼痛，发热口海，烦播不安，小便短赤，大便燥结，舌红苔黄，脉浮紧而数等症。
寒战,疮毒内陷寒战,出现局部红、肿、热、痛，伴恶寒战栗，发热烦渴，甚至神昏谵语，小便短赤，大便燥结，舌红苔黄，脉洪数。
寒战,疟疾寒战,先有呵欠乏力，继则恶寒战栗，肢体疫痛，寒罢则壮热，头痛面赤，口渴引饮，而后汗出，热退身凉，脉弦。
身热肢寒,热深厥深身热肢寒,壮热不退，手足厥冷，头痛胸闷，面赤气粗，烦躁谱语，继则神昏，小便黄赤，舌质红锋而干，脉滑数或洪数
身热肢寒,阴盛格阳身热肢寒,身热面红，咽燥而痛；手足厥冷，下利淸谷，舌淡苔白，脉沉细欲绝。
恶寒发热,风寒袭表恶寒发热,恶寒发热，恶寒重，发热轻，头痛身痛，无汗，鼻塞流涕，咳嗽声重，舌苔薄白，脉浮紧。
恶寒发热,风热犯肺恶寒发热,恶寒发热，发热重，恶寒轻，微汗出，头痛，咽红，口干，咳嗽，舌苔薄黄，脉浮数。
恶寒发热,风湿客表恶寒发热,恶寒发热，身体困重，头胀如裹，关节疼痛，舌苔白腻，脉浮数。
恶寒发热,暑湿袭表恶寒发热,恶寒发热，恶寒轻，发热重，头胀，胸闷呕恶，汗出，口渴，小便短赤，舌苔黄脈，脉浮数。
寒热往来,邪入少阳寒热往来,寒热往来，心烦喜呕，口苦，咽干，目眩，胸胁苦满，舌边红，苔薄黄，脉弦数。
寒热往来,外感疟部寒热往来,寒热往来，反复发作，发有定时，多见隔日发作一次，亦有三日一发者。发作时，先恶寒，继则高热，最后遍体汗出，热退身和。舌红苔薄白或黄腻，脉弦。
寒热往来,湿热郁阻三焦寒热往来,湿热郁阻三焦寒热往来：寒热起伏，汗出不清，胸闷腹胀呕恶，头痛烦躁，口干饮少，小便短黄赤，舌边红，舌苔垢腻或白如积粉，脉濡。
但热不寒,邪热壅肺但热不寒,发热而不恶寒，咳嗽胸痛，咳疲粘稠、黄腥，鼻煽气粗，口渴咽痛，舌红苔黄燥或黄腻，脉滑数。
但热不寒,热炽阳明但热不寒,不恶寒，反恶热，壮热面赤，大汗出，大烦渴，小便黄少，舌质红，苔黄，脉洪大。
但热不寒,热结肠道但热不寒,壮热不恶寒，日晡为甚，腹满硬痛，按之坚实，大便不通或热结旁流，甚则神昏谵语、烦躁不安，舌苔黄燥或焦黑，脉沉实有力。
但热不寒,湿热郁蒸但热不寒,身热起伏而不恶寒，午后转盛，汗出不解，渴不引饮，胸闷脘痞，身重纳呆，舌苔黄腻，脉弦滑数。
但热不寒,暑热伤气但热不寒,发热不恶寒，头痛，面赤气粗，胸闷烦躁，口渴引饮，汗出过多，舌红苔黄燥，脉洪数。
但热不寒,热入营血但热不寒,发热入暮尤甚而不恶寒，烦躁不寐，口干，甚则谵语发狂、神昏，斑疹透露，舌质红绛’苔少或光剥’脉细数。
壮热,肺热炽盛壮热,壮热口渴，咳嗽，气粗而喘，或有胸痛，咽痛，鼻煽气热，或咯吐脓痰腥臭，便秘尿黄，舌红苔黄，脉数。
壮热,阳明经壮热,壮热恶热，多汗，面赤，口渴喜冷饮，苔黄燥，脉洪大或滑数。温病气分证与此同。春温邪发气分，可起病即壮热恶热，而无恶寒发热卫分阶段。
壮热,肠道热结壮热,壮热口海，大便秘结，腹胀硬满，疼痛拒按，舌红苔黄少津，脉沉数有力
壮热,热炽营血壮热,身热，入夜尤甚，烦躁不寐，神昏谵语，斑疹隐隐，或见吐血衄血，舌质红绛，脉细数。
壮热,湿热蕴结壮热,壮热起伏，汗出而热不解，午后增重，烦渴，不欲饮或少饮，胸闷气短，脘痞身重，苔黄腻，脉滑数
壮热,大肠湿热壮热,壮热，兼有腹中疼痛，下利脓血，里急后重，肛门灼热，苔黄腻，脉濡数或滑数。
低热,肺胃阴虚低热,低热，日久不退，常伴干咳不已，或咳嗽疾少，痰中带血，咽干或声嘶，口干舌燥而渴，体瘦，纳差，大便干结，舌红少苔或无苔，脉细数或虚。
低热,肝肾阴虚低热,低热，日久不退，或手足心热，常伴有颧红.口燥咽干，头晕目眩，神倦乏力，或失眠多梦，耳鸣，舌红少苔或无苔，脉弦细或细数。
低热,气虚低热,低热，长期不退，常伴有面色白，气短乏力，身倦懒言，动则自汗出，舌质淡嫩，脉虚大
低热,阳虚低热,低热而欲近衣，形寒怯冷，四肢不温，头晕嗜卧，腰膝痠痛，舌质淡胖，或有齿痕，苔白润，脉沉细或浮大无力
低热,气郁低热,低热，热势常随情志变化而起伏，精神抑郁，烦躁易怒，胸胁闷胀，口干而苦，纳食减少，大便秘结，舌红，苔薄黄，脉弦数
低热,血瘀低热,午后或晚间低热，口燥咽干，但欲漱水不欲咽，肢体或躯干有面定痛处或肿块，面色萎黄或晦暗，皮肤粗糙甚则肌肤甲错，舌质靑紫或有瘀点、瘀斑，脉弦或涩。
低热,湿郁低热,低热，午后热甚，胸闷纳少，身重，呕恶，口不渴，或饮入即吐，大便稀薄或粘滞不爽，苔白腻，或黄腻，脉濡数。
潮热,阳明腑实潮热,日晡潮热，手足檝然汗出，腹部硬满疼痛，大便秘结或热结旁流，或神昏谵语，煩躁不安，舌苔焦黄，脉沉实。
潮热,阴虚血亏潮热,午后或夜间潮热，手足心热，心烦失眠，心悸盗汗，消瘦神悴，舌质红少苔，脉细数。
潮热,脾胃气虚潮热,上午潮热，卞午热退或午后发热，少气懒言.神疲肢软，自汗，面色咣白，舌淡撇，脉虚细弱。
潮热,暑热伤气潮热,多为小儿茥夏发热，或早热暮凉，或暮热早凉，口渴引饮，烦躁不安，纳呆神倦，舌苔腻，脉细数。
潮热,瘀血内郁潮热,午后或夜间发热，咽煤口干，漱水不欲咽，腹中痼块，或身有痛处，甚则肌肤甲错，两目黯黑，舌见淤斑或青紫，脉细涩。
五心烦热,阴虚五心烦热,五心烦热，午后热甚，常欲手握冷物，卧时手脚喜伸被外，盗汗，遗精，颧红，腰膝痠软，口燥咽干，舌质殷红，光剥少苔，脉沉细数。
五心烦热,血虚五心烦热,午后自觉两手两足心热，小有烦劳则加重，神疲身怠，食少懒言，心择，头目眩晕，舌质淡。脉细弱或细涩。
五心烦热,邪伏阴分五心烦热,手足心热，心烦，眠差。有低热，暮热早凉，热退无汗，能食形瘦，舌质红少苔，脉弦细略数。
五心烦热,火郁五心烦热,五心烦热，胸闷，情志不舒，急躁易怒，头胀，口苦，尿赤，妇女则经行不畅，舌红，苍黄’脉沉数。
无汗,风寒表实无汗,全身无汗，恶寒发热，头痛身疼，鼻塞声重，喷嚏流涕，喉痒咳嗽，舌苔薄白，脉象浮紧。
无汗,表寒里热无汗,全身无汗，发热恶寒，肢体烦疼，鼻塞声重，烦躁口渴明痛，咳嗽痰黄，溲赤便秘，苔白或薄黄，脉象浮数。
无汗,寒湿束表无汗,全身无汗，头胀如裹，肢体沉重，骨节烦疼，畏寒徵热，尤以日晡为甚，舌苔白腻，脉浮紧或迟。
战汗,太阳伤寒欲解战汗,发热，恶寒，肢节疼痛，舌苔薄白，脉浮数按之无力。若欲解，可振栗汗出，身静，脉和病愈而安。
战汗,疫留气分欲解战汗,发热甚而不恶寒，或反恶热，烦渴或欲饮水，舌苔黄，脉洪大。若先振栗，随即全身汗出，继而脉静身凉，此为欲解病除之象。
自汗,营卫不和自汗,汗出恶风，周身痠楚，时寒时热，舌苔薄白，脉缓。风湿伤表自汗：自汗断续，汗量不多，恶风畏寒，肢体重着麻木，小便短少，舌苔薄白，脉浮缓或濡滑。
自汗,热炽阳明自汗,自汗频出，汗量较多，髙热面赤，烦渴引饮，舌苔黄燥，脉洪大有力。
自汗,暑伤气阴自汗,自汗频繁，汗量较多，烦海引饮，胸隔痞闷，舌质红，苔黄而燥，脉洪大无力。
自汗,气虚自汗,自汗常作，动则益甚，时时長寒，气短气促，倦怠供言，面色胱白，平时不耐风寒，极易感冒，舌质淡，苔薄白，脉缓无力
自汗,阳虚自汗,自汗，动则加重，形寒肤冷，纳少腹胀，喜热饮，大便搪薄，面色蒌黄或淡白，舌淡苔白，脉象虚弱。
盗汗,心血不足盗汗,盗汗常作，心悸少寐，面色不华，气短神疲，舌淡苔薄，脉虚。阴虚内热盗汗：盗汗频作，午后潮热，两费发红，五心烦热，形体消瘦，女子月经不调，男子梦遗滑精，舌红少苔，脉细数。
盗汗,脾虚湿阻盗汗,盗汗常作，头痛如裹，肢体困倦，纳呆口腻，舌苔薄白腻，舌质淡，脉濡缓。
盗汗,邪阻半表半里盗汗,盗汗，病程较短，寒热往来，两胁满闷，口苦，欲呕，舌苔薄白或薄黄，脉弦滑或弦数。
绝汗,气明欲脱绝汗,主要症状为大汗不止，热而粘稠，或汗出如油，身热，手足温，漘喜冷饮，呼吸气粗，体倦神疲，唇舌干红，脉虚数或细数无力。
绝汗,阳气欲脱绝汗,主要表现为大汗淋漓，汗出如珠，清稀而凉，畏寒踡卧，四肢厫冷，精神蒌廉，面色苍白，呼吸徵弱，漘喜热饮，舌润，脉微欲绝或浮数而芤。
黄汗,营卫壅闭黄汗,汗出如黄柏汁，发热，身肿困重，皮中如有虫行，口渴，小便不利，舌苔白，脉沉。
黄汗,湿热蕴积黄汗,汗出色黄，发热，身微肿，胁痛，纳呆，口苦，溲赤，舌苔黄腻，脉弦滑。
汗出偏沮,气血亏虚汗出偏沮,汗出偏于半侧，少气懒言，倦怠乏力，面色苍白无华，头晕目眩，手足发麻，舌淡苔白，脉象细弱。
汗出偏沮,寒湿痹阻汗出偏沮,汗出偏于半侧，筋脉挛痛，手足屈伸不利，肢体沉重，甚则难以转侧，舌苔白腻，咏濡或迟。
汗出偏沮,营卫不和汗出偏沮,汗出偏于半侧’发热，头痛，恶风，舌苔白润，脉见缓弱。
头汗,湿热熏蒸头汗,头面汗出，小便不利，身目发黄，恶寒发热，舌苔黄腻，脉湯数。
头汗,阳气不足头汗,头面多汗，面色咣白或苍白，四肢不温，气短，畏寒，神疲乏力，舌淡嫩，脉虚弱。
心胸汗出,心脾气虚心胸汗出,心胸汗出，面色胱白，气短乏力，心悸健忘，纳呆，便溏，舌质淡嫩，脉象虚弱
心胸汗出,心肾阴虚心胸汗出,心胸汗出，虚烦失眠，心悸健忘，头晕耳鸣，咽干舌燥，腰疫膝软，多梦遗精，骨蒸漸热，小便短赤，舌红少苔，脉象细数。
手足汗出,脾胃湿热手足汗出,手足汗出，胸脘痞闷，不思饮食，身重体困，小便短赤，舌苔黄腻，脉濡数或濡滑。
手足汗出,脾胃气虚手足汗出,手足汗出，身倦乏力，气短懒言，四肢不温，食纳减少，大便不实，舌淡苔白，脉象虚弱。
手足汗出,脾胃阴虚手足汗出,手足汗出，咽燥口干，睡后明显，食欲不振，饥不欲食，或干呕作呃，大便不调，舌红少苔，脉象细数。
腋汗,肝热阴虚腋汗,腋下汗出而不臭，多梦易惊，虚烦不眠，头牵乏力，面色无华，午后湘热或五心烦热，口干咽燥，舌红少苔，脉弦细数
腋汗,肝胆湿热腋汗,腋下汗出而有臭气，胸闷纳呆，口苦粘腻，渴不欲饮，身重体倦，小便短少色黄，舌苔黄腻，脉弦数。
身重,湿著肌表身重,身重疼痛，转侧不利，发热恶寒，头痛头胀如裹，胸闷纳呆，舌苔薄白腻，脉濡缓。
身重,风水相搏身重,身重，面目浮肿，畏风怕冷，发热头痛，肢节痠楚，咳嗽，咽痛，尿少，舌苔薄白，脉浮。
身重,阳虚水泛身重,身重不痛，下肢浮肿，按之凹陷不起，面色蒌黄或苍白无华，纳呆便溏，神倦肢冷，腰痠重，小便短少，舌淡而胖，苔白滑，脉沉细缓。
身痛,风寒束表身痛,周身疼痛，恶寒发热，无汗，鼻塞流涕，咽痒咳嗽，舌苔薄白，脉浮紧。
身痛,湿著肌表身痛,周身疼痛，胲体沉重，头胀如裹，或见恶寒发热，无汗，舌苔白腻，脉濡。
身痛,瘀阻络脉身痛,周身疼痛，如针剌之状，转侧不利，舌睹有疲斑，脉沉涩。
骨痛,寒湿阻络骨痛,骨及关节疼痛，患处发凉沉重或肿胀，畏寒肢冷，苔白滑，脉弦紧。
骨痛,湿热阻痹骨痛,骨及关节疼痛，局部肿胀沉重灼热，身热，舌苔黄腻，脉滑数。
骨痛,肾精不足骨痛,周身骨痛，甚则骨賂变形，伴有腰膝痠软，筋脉拘急，步雇蹒跚，反应迟钝，成人发落齿摇、阳瘦迪精、耳鸣耳聋、健忘等症状，小儿身材矮小，发育迟缓，智力低下，五迟五软，易惊盗汗或抽搐。舌质瘦小光红，脉细弱。
骨痛,睥肾气虚骨痛,四肢及腰背部骨及关节疼痛，四肢无力，肌肉衰萎，昼轻夜重，骨赂变形，活动不利，面色咣白，口淡、自汗，面浮肢肿，少气供言，夜尿增多，肠鸣腹痛，便溏或五更泄泻，舌淡胖嫩苔白或水滑，脉弦迟无力或迟细。
骨痛,气滞血淤骨痛,骨格疼痛，疼痛固定剧烈，骨节僵硬变形，关节附近呈黯黑色，不能屈伸，肢体麻木，舌质暗紫或有疲斑，脉细涩
身振摇,肝风内动身振摇,全身振振摇动，不能自止，伴眩晕，烦躁易怒，脉弦急有力，舌质红，苔薄偏干。
身振摇,阳虚身振摇,身体振振播动，形寒肢冷，.或有呕吐旗痛，或伴下利淸谷，脉沉紧，或弦滑，舌质淡，苔薄滑。
筋惕肉哺,阳虚筋惕肉哺,面色咣白，恶寒，汗出，手足厥冷，筋肉跳动，舌淡苔白.脉微。
筋惕肉哺,阳虚水泛筋惕肉晡,发热，头眩，心下择动，筋揭肉瞒，身体振振站立不稳，舌淡苔白，脉沉。
瘫痪,肺胃津亏瘫痪,外感发热期，或发热后，见上肢或下肢软弱无力，手不能持物，足不能任地，甚则廉痪，渐致肌肉瘦削，皮肤干枯，心烦口渴，咳呛痰少，胃脘嘈杂，或善食易饥，两顴红赤，咽干唇燥，舌红而少津，苔黄，脉细数。
瘫痪,肝肾阴虚瘫痪,病势缓馒，逐渐下肢或上肢痿弱不用，腰脊疫软不举，久则骨肉瘐削，有时麻木、拘挛，筋惕肉病，头晕耳鸣，两目昏花，遗精早泄，湘热盗汗，两顴瀨红，低热，咽干，尿少便干，舌红鋒少津，脉弦细数。
瘫痪,湿热阻瘅摊疾,四肢或双下肢瘘软无力乃至瘫痪，肢体灼热，得凉稍舒，身热不扬，面黄身困，口干苦而粘，小便赤涩热痛，舌红，舌苔黄滑，脉滑。
瘫痪,寒湿阻滞雜疾,顔面水肿或虚浮晦滞，四肢困重，屈伸不利，乃至瘫痪，腰脊痠楚，或有肌肤瘙痒，足跗微肿，舌体胖大，有齿痕，苔白滑，脉滑。
瘫痪,脾胃气虚瘫痪,渐见下肢痿软无力，以至瘫痪，少气懒言，语声低微，神疲倦怠，面色淡白无华，头荦肢困，便溏，食少纳呆，舌淡苔薄，脉细软。
瘫痪,肾阳虚摊痕,四肢湊廉，面色苍白.眩晕耳鸣，倦怠乏力，腰酸腿软，足跗徵肿，四胺冰冷，阳痿遗精，皮肤毛发脱落，出汗异常，舌淡白，尺脉弱。
瘫痪,瘀血阻络瘫痪,多于外伤后立即出现下半身瘫痪，二便失禁.皮肤不知痈痒^足跗水肿，皮肤枯而薄。继而肌肉瘦削，肌肤甲错.四肢不温，胸腰或肌肤刺痛，舌质红，或有瘀血斑点，脉沉细涩。
瘫痪,肝郁血虚瘫痪,病人多愁善慼，喜悲伤欲哭，一遇激怒则突发四肢瘫痪，然四肢肌肉虽久病亦多不瘦削，肌肤润泽，伴两胁胀痛，嗳气纳呆，口苦，舌淡紫，脉弦细。
半身不遂,风中经络半身不遂,突然昏仆，半身不遂，肌肤不仁，伴见口眼哨斜，语言不利，或有发热恶寒，头痛，骨节痛，肢体拘急，舌苔白腻，脉象浮滑。
半身不遂,肝阳化风半身不遂,头痛眩晕，耳鸣眼花，心烦易怒，面红目赤，遇有激怒则突发半身不遂，舌强语謇，口眼埚斜，甚则呕吐，神志不清等症，舌质红，脉弦数。
半身不遂,痰热内闭半身不遂,突然昏仆，神识不清，半身不遂，口眼嗝斜，两手握固，牙关紧闭，面红目赤，喉中痰鸣，喘促躁动，舌质红，苔黄腻，脉弦滑而数。
半身不遂,疲湿兼闭心窍半身不遂,卒暴偃仆，半身不遂，嗜睡或昏睡，神识不淹，两手握固，痰涎壅盛，颜面虚浮，牙关紧闭，静而不烦，面白唇紫，四肢不温，舌白滑腻，脉沉滑或缓。
半身不遂,阳脱半身不遂,突然昏仆，半身不遂，神识不清，目合口开，手擻遗尿，鼻鼾息微，四肢逆冷，面色苍白，辆出冷汗，舌痿而淡白，脉沉细微。亦可醒后见半身不遂。
半身不遂,阴虚阳浮半身不遂,突然半身不遂，昏不识人，口眼明斜，亦可见目合口开，手撖遗尿，鼻鼾息傲，然手足冷而面颧红赤，舌瘘而红，脉沉细欲绝。亦可于苏醒后方见半身不遂。
半身不遂,气虚血挤半身不遂,半身不遂，面色苍白，偏身枯瘦，肌肤不仁，或手足肿胀，筋脉拘急，上肢屈曲，下肢伸直，上下肢强制屈伸则疼痛，或有半身剌痛。舌淡白，或晦滞有瘀血斑点，脉弦细或涩结。
半身不遂,肝肾亏虚半身不遂,病人多年高力衰，面色苍白，媵痠腿软，齿摇发脱，耳鸣健忘，眩華目糊，语言不利，神情呆滞，智能低下，如癲如痴，半身不遂逐渐发生。舌淡白，脉沉细弱。
角弓反张,寒湿阻络角弓反张,角弓反张，口噤不语，四肢抽搐，发热恶寒，头痛身痈，苔薄白，脉浮紧。
角弓反张,阳明热织角弓反张,角弓反张，口噤鼢齿，手足挛急，面红目赤，高热，不恶寒反恶热，大汗出，口渴引饮，甚则谵妄，旗胀便结，舌红苔黄燥，脉弦数有力。
角弓反张,血热风盛角弓反张,角弓反张，口噤抽搐，身热夜甚，口干但不甚渴饮，心烦不寐，甚至昏迷谵妄，或见癍瘆透露，I舌质红绛.脉细数等症。
角弓反张,气血两虚动风角弓反张,角弓反张，四肢描搦，头晕目眩，心悸气短，神娱乏力，自汗盗汗，面白无华，舌质淡，脉弦细。
角弓反张,金创风毒角弓反张,角弓反张，恶寒发热，头痛，颜面肌肉痉挛，呈苦笑面容，牙关紧闭，舌强口噤，舌红答黄，脉弦数。
半身麻木,脾胃气虚半身麻木,半身麻木，伴有肢软无力，并有心慌、气短、畏风、自汗、脉弱、舌淡、苔薄白等。
半身麻木,营虚半身麻木,半身麻木，伴有面色少华、自汗、消瘦、脉细弱、舌淡嫩，苔薄干。
半身麻木,风寒袭络半身麻木,"半身麻木，伴有头疼身痛，恶风寒，无汗，脉弦紧，舌苔薄白润。
"
半身麻木,肝风内动半身麻木,半身麻木.伴有不同程度的震颤，并有头晕、头痛、烦躁易怒’失眠多梦，脉弦有力，舌质暗红，苔少或薄黄而干
半身麻木,湿疲阻络半身麻木,半身麻木，伴有沉重感，并有头昏沉、呕恶、胸闷不舒，脉滑，舌淡瓣，苔滑润或白膩。
浮肿,风寒袭肺浮肿,眼睑先肿.来势迅速，继而四肢及全身皆肿，長恶风寒，或伴发热，骨节疫痛，澳少，舌苔薄白，脉浮紧
浮肿,风热犯肺浮肿,"突然眼睑和面部浮肿，发热恶风，咳嗽，咽红肿痛，澳短少而黄，舌边尖微红，苔薄黄，脉浮数。
"
浮肿,水湿困脾浮肿,肢体浮胖，起病缓慢，病程较长，肿势多由四肤而起，腹部、下肢明显，身重困倦，胸闷泛恶，口淡，溲清而短，舌苔白腻，脉沉缓或沉迟。
浮肿,脾阳虚浮肿,水肿腹腰以下为甚，反复不愈，按之凹陷不起，神倦肢冷，纳减便溏，小便量少、色清，舌质淡，苔薄白润，脉沉缓。
浮肿,肾阳虚浮肿,全身水肿，肿势多先由腰足始，腰以下肿明显，两足内探尤剧，腰膝痠软沉重，阴囊湿冷，怯寒肢冷，小溲量少色淸，舌淡胖，苔薄白，脉沉细弱。
浮肿,气血两虚浮肿,渐见面部、四肢浮肿，面色躭白或蒌黄，唇淡白，头晕心悸，气短，纳少体倦，精神不振，舌质淡少苔，脉虚细无力。
肥胖,痰湿中阻肥胖,体形胖大，食纳较多，犹善食甘美肥腻之品，胸痞脘闷，平素痰多，肤体沉重倦息，恶热，舌体胖，苔厚膩，脉弦滑有力。
肥胖,气虚肥胖,体形胖大，少气懒言，动则自汗，怕冷，面浮虚肿，食纳稍差，神疲嗜卧，舌淡苔白，脉细弱
消瘦,脾胃气虚消瘦,形体消瘦，食欲不振，食后膣胀，大便溏薄，傳怠乏力，少气懒言，面色赛黄，舌淡苔白，脉虚弱。
消瘦,气血虚弱消瘦,形体消瘦，面色萎黄无华，倦怠乏力.少气懒言，头晕目眩，心悸失眠，舌淡苔薄，脉细弱。
消瘦,肺阴虚消瘦,形体消瘦，干咳痰少，痰中带血，或咯血，口燥咽干.潮热盗汗，午后颧红，五心烦热，舌红少津，脉细数。
消瘦,胃热炽盛消瘦,形体消瘦，口渴喜冷饮，多食善饥，心烦口臭，小便短赤，大便干结，舌苔黄煉，脉弦数有力。
消瘦,肝火充盛消瘦,形体消瘦、烦臊不安，性急易怒，头晕目眩，胁肋灼痛，口苦目赤，小便短赤，大便燥结，舌红苔黄，脉弦数。
消瘦,虫积消瘦,形体消瘦，面色萎黄，胃脘嘈杂，脐腹疼痛，时作时止，食欲不振，或嗜食异物，大便溏薄，舌淡苔白，脉弱无力。
脱形,脾气虚脱形,形体极度瘦削，食欲不振，倦怠乏力，少气懶言，食后腹胀，大便溏薄，面色赛黄，舌淡苔白，脉虚弱。
脱形,气血两虚脱形,形体极度瘦削，面色萎黄无华I头晕目眩，心悸失眠，少气懒言，肌肤干燥，舌质淡，苔薄白，脉细弱。
脱形,精血亏虚脱形,大骨枯镐，大肉陷下，肌肤甲错，喉呛声哑，发焦毛耸，自汗盗汗，久泻不止，心悸，骨蒸渐热，哨息短气，舌红无苔，或剥脱，脉沉细而数。
疲乏,暑耗肺胄气阴疲乏,肢体倦怠乏力，精神委顿，少气獭言，身热汗出，心烦口渴，食少使搪，面垢苔浊，脉虚数
疲乏,脾虚湿因疲乏,倦怠懒言身重，口苦舌干，大便溏薄，洒洒恶寒.胸脘满闷，食减，尿少，舌苔厚腻，脉濡。
疲乏,气血两虚疲乏,神疲肢倦，少气懒言，语音低怯，眩晕失眠，自汗心悸，手足麻木，面白无华，唇舌爪甲色淡，脉沉细无力
白痏,湿热郁阻白痏,身热而不扬，热势缠绵，汗出不解，面色晦滞.或带有面垢，神情淡漠，胸腹胀满，纳少泛恶，口粘，渴不欲饮，胸腹部可见白瘩，晶莹饱满，顙粒分明，擦玻之后，有澄淸水液流出，其色黴黄，舌苔黄腻，脉潘数。
白痏,津气亏虚白痏,身热久羁，口舌干燥，神倦气怯，心悸，烦躁，意识模糊，呼吸急促，鼻翼煽动，手足蠕动，甚则瘈疚.白痏枯白无华，顆粒不请，空壳无浆，舌红少津，舌苔黄，脉细数无力。
红疹,热入营血红疹,多伴高热不退，可在躯干或四肢出现红色或暗紫色瘀点，压之不退色，抚之不碍手，疹点之间可见正常皮肤，兼有烦躁，谵语，或并发抽搐惊厥，舌质红绛，舌苔黄，脉数或细数。
红疹,风热挟湿红疹,起病较急，皮疹呈红色或淡红色粒状丘疹，形态大小不一，稠密处可融合成片，褒库或奇痒，兼见身热胸闷，烦躁不安，小便短黄，舌质红绛，舌苔黄腻，脉来浮数
红疹,风寒束表红疹,发病突然，疹色淡红，进风冷则症状加重，皮肤疲痒，此伏彼起，形态大小不一，兼有发热恶风，头痛，脉浮。
红疹,血虚不荣红疹,疹色淡红或苍白，疹形小如米粒，大如豆瓣，参差不一，反复发作，时隐时现，每以夜晩为甚，经年不愈，头晕心烦，面色少华，舌质淡，脉细弱。
汗血,血热动血汗血,汗出如血，皮肤出现青紫癍点或疲块，或伴有鼻衄、齿衄、便血、尿血，或有发热，口渴，便秘/舌红，苔黄，脉弦数。
汗血,阴虚火旺汗血,汗出如苏木水浦染，皮肤靑紫癍点或癍块，时发时止，常伴鼻衄、齿趙或月经过多，顴红，心烦，口海，手足心热，或有漸热，盗汗，舌质红，苔少，脉细数。
汗血,气不摄血汗血,汗出色淡红，久病不愈，反复发作，甚可血从毛孔溢出，神疲乏力，头晕目眩，面色苍白或蒌黄，食欲不振，舌质淡，脉细弱。
发癍,热入营血发癍,多出现于急性热病过程中。癍色鲜红或紫赤，身热不退或发热夜甚，心烦不寐，口海咽干，甚则抻昏谱语，痉挛抽擄，小便短赤，大便干结或澹泄，或伴有吐血，齟血，舌质红绛，脉数。
